name,code,date
청담러닝,096240,2018-11-14
서울옥션,063170,2018-11-13
큐브엔터,182360,2018-11-01
포스코 ICT,022100,2018-10-24
서울옥션,063170,2018-10-04
서울옥션,063170,2018-09-14
청담러닝,096240,2018-09-12
서울옥션,063170,2018-09-03
AP위성,211270,2018-08-20
큐렉소,060280,2018-08-20
포스코 ICT,022100,2018-08-20
청담러닝,096240,2018-08-16
대주전자재료,078600,2018-08-16
대원미디어,048910,2018-08-13
서울옥션,063170,2018-08-08
포스코 ICT,022100,2018-07-24
에너전트,041590,2018-07-18
서울옥션,063170,2018-07-16
리드,197210,2018-07-16
청담러닝,096240,2018-07-12
서울옥션,063170,2018-07-05
포스코 ICT,022100,2018-06-28
대주전자재료,078600,2018-06-19
팬젠,222110,2018-06-04
유진로봇,056080,2018-06-04
바이오톡스텍,086040,2018-06-04
큐렉소,060280,2018-06-04
파인테크닉스,106240,2018-05-30
티에스이,131290,2018-05-16
대원미디어,048910,2018-05-11
상지카일룸,042940,2018-05-09
포스코 ICT,022100,2018-04-25
대주전자재료,078600,2018-04-17
케이프,064820,2018-04-17
팬젠,222110,2018-04-17
셀바스헬스케어,208370,2018-04-17
네오팜,092730,2018-04-17
대진디엠피,065690,2018-04-17
대원미디어,048910,2018-04-17
티에스이,131290,2018-04-17
팬젠,222110,2018-04-10
포스코 ICT,022100,2018-04-03
대진디엠피,065690,2018-03-27
에스트래픽,234300,2018-03-21
대원미디어,048910,2018-03-07
포스코 ICT,022100,2018-02-27
에스트래픽,234300,2018-02-19
대주전자재료,078600,2018-02-19
아프리카TV,067160,2018-02-19
텔레필드,091440,2018-02-12
삼지전자,037460,2018-02-12
텔레필드,091440,2018-01-29
포스코 ICT,022100,2018-01-26
이즈미디어,181340,2018-01-17
아이앤씨,052860,2018-01-08
삼지전자,037460,2018-01-08
AP위성,211270,2018-01-08
